tag,lnx,n,hits,rho,se,attempts,seconds
N=10^8,35.45506712678484,14134,3582,0.2534314419131173,0.003658748450852221,1420098,31.8
2^64,87.3365447505531,3239,652,0.2012966965112689,0.007045398948023266,775264,50.8
N=10^8,35.45506712678484,17875,4464,0.24973426573426574,0.003237603035074485,1788439,31.9
2^64,87.3365447505531,3779,755,0.19978830378406987,0.00650427704369326,906205,54.8
2^128,176.0593838622261,2985,511,0.1711892797319933,0.006894357419908359,1460603,209.8
2^256,353.5050620855721,2997,433,0.1444778111444778,0.0064220376032406495,2964931,1650.9
2^512,708.3964185322641,3,1,0.3333333333333333,0.2721655269759087,4562,30.0
2^512,708.3964185322641,168,11,0.06547619047619048,0.0190845641561253,343319,1200.6
2^512,708.3964185322641,175,28,0.16,0.027712812921102035,342688,1200.3
