tag,c,L,t,rho,se,n,seconds
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010162969669533725,4.793764121767531e-05,441800,1800.7
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0009674088705333094,4.657590028988349e-05,445520,1800.4
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010352487530910768,4.655392727072247e-05,477180,1801.0
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010926918442810253,4.761759147298004e-05,481380,1801.0
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010843970752261742,4.730130081339047e-05,484140,1800.7
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.001030843825123253,4.580297160026249e-05,490860,1800.7
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0011225312374042724,4.753647194422318e-05,496200,1800.8
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010036641707822209,4.4684314541188046e-05,502160,1801.3
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010270379338175948,4.549927331147903e-05,495600,1801.2
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0011055720832998312,4.7115685519363875e-05,497480,1800.9
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.001059004576195683,4.628251074040725e-05,493860,1800.7
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010540898686905193,4.598000075139831e-05,498060,1800.4
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.001044106955327571,4.5895792553569655e-05,495160,1801.1
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010352135637430714,4.5906394795316126e-05,490720,1800.7
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010403695521188994,4.5687429339660224e-05,497900,1801.5
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010477688224886966,4.5360123413789855e-05,508700,1800.5
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.0010497715203161666,4.646025869533378e-05,485820,1800.3
2^10^17,0.5,1.3862943611198906e+17,39.470580840877055,0.001075676538676459,4.630774231384075e-05,501080,1800.4
