N,tv_Jn_z,tv_Jn,tv_shift_mean,tv_shift_sd,cv_D_50gaps,seconds
1000000,-0.021,0.0014534985465014568,0.0014580356513393493,0.0002157953451712939,0.0005272324510975119,20.6
10000000,0.904,0.0005701936929806387,0.0004711731950701811,0.00010949527276319093,0.00017734457444590256,335.2
100000000,-0.261,0.00014685093603149054,0.00015512482266749928,3.1702617141820824e-05,6.707617268466479e-05,3425.4
